"Reference","DOI","DOI_PANGAEA","Included/Not included","Reason for non inclusion","Country/Region","Year"
"Kannan, G., Ayyappan, S., & Mariasingarayan, Y., 2020. Ocean acidification impacts on hatching success and reproductive tissue damage in Anemonefish. Indian Journal of Natural Sciences 10:17992-18000","doi:no DOI","10.1594/PANGAEA.922623","Included","","India","2020"
"Kaplan, M. B., Mooney, T. A., McCorkle, D. C., & Cohen, A. L., 2013. Adverse effects of ocean acidification on early development of squid (Doryteuthis pealeii). PLoS ONE 8:e63714","doi:10.1371/journal.pone.0063714","10.1594/PANGAEA.830716","Included","","EU-UK","2013"
"Kapsenberg, L., Bitter, M. C., Miglioli, A., Aparicio-Estalella, C., Pelejero, C., Gattuso, J.-P. et al., 2022. Molecular basis of ocean acidification sensitivity and adaptation in Mytilus galloprovincialis. iScience 25:104677","doi:10.1016/j.isci.2022.104677","10.1594/PANGAEA.949506","Included","","EU-Spain","2022"
"Kapsenberg, L., & Hofmann, G. E., 2014. Signals of resilience to ocean change: high thermal tolerance of early stage Antarctic sea urchins (Sterechinus neumayeri) reared under present-day and future pCO2 and temperature. Polar Biology 37:967-980","doi:10.1007/s00300-014-1494-x","10.1594/PANGAEA.836963","Included","","USA","2014"
"Kapsenberg, L., Miglioli, A., Bitter, M. C., Tambutté, E., Dumollard, R., & Gattuso, J.-P., 2018. Ocean pH fluctuations affect mussel larvae at key developmental transitions. Proceedings of the Royal Society B: Biological Sciences 285:20182381","doi:10.1098/rspb.2018.2381","10.1594/PANGAEA.899833","Included","","EU-France","2018"
"Kapsenberg, L., Okamoto, D. K., Dutton, J. M., & Hofmann, G. E., 2017. Sensitivity of sea urchin fertilization to pH varies across a natural pH mosaic. Ecology and Evolution 7:1737-1750","doi:10.1002/ece3.2776","10.1594/PANGAEA.872634","Included","","USA","2017"
"Karlberg, M., & Wulff, A., 2013. Impact of temperature and species interaction on filamentous cyanobacteria may be more important than salinity and increased pCO2 levels. Marine Biology 160:2063-2072","doi:10.1007/s00227-012-2078-3","10.1594/PANGAEA.829881","Included","","EU-Sweden","2013"
"Karuza, A., Celussi, M., Cibic, T., Del Negro, P., & DeVittor, C., 2012. Virioplankton and bacterioplankton in a shallow CO2-dominated hydrothermal vent (Panarea Island, Tyrrhenian Sea). Estuarine, Coastal and Shelf Science 97:10-18","doi:10.1016/j.ecss.2011.10.027","10.1594/PANGAEA.778196","Included","","EU-Italy","2012"
"Kato, A., Hikami, M., Kumagai, N. H., Suzuki, A., Nojiri, Y., & Sakai, K., 2014. Negative effects of ocean acidification on two crustose coralline species using genetically homogeneous samples. Marine Environmental Research 94:1-6","doi:10.1016/j.marenvres.2013.10.010","10.1594/PANGAEA.833973","Included","","Japan","2014"
"Kavousi, J., Parkinson, J. E., & Nakamura, T., 2016. Combined ocean acidification and low temperature stressors cause coral mortality. Coral Reefs 1-5","doi:10.1007/s00338-016-1459-3","10.1594/PANGAEA.868905","Included","","Japan","2016"
"Kavousi, J., Reimer, J. D., Tanaka, Y., & Nakamura, T., 2015. Colony-specific investigations reveal highly variable responses among individual corals to ocean acidification and warming. Marine Environmental Research 109:9-20","doi:10.1016/j.marenvres.2015.05.004","10.1594/PANGAEA.859080","Included","","Japan","2015"
"Kavousi, J., Roussel, S., Martin, S., Gaillard, F., Badou, A., Di Poi, C. et al., 2021. Combined effects of ocean warming and acidification on the larval stages of the European abalone Haliotis tuberculata. Marine Pollution Bulletin 113131","doi:10.1016/j.marpolbul.2021.113131","10.1594/PANGAEA.943339","Included","","EU-France","2021"
"Kavousi, J., Tanaka, Y., Nishida, K., Suzuki, A., Nojiri, Y., & Nakamura, T., 2016. Colony-specific calcification and mortality under ocean acidification in the branching coral Montipora digitata. Marine Environmental Research 119:161-165","doi:10.1016/j.marenvres.2016.05.025","10.1594/PANGAEA.864505","Included","","Japan","2016"
"Kawaguchi, S., Ishida, A., King, R., Raymond, B., Waller, N., Constable, A. et al., 2013. Risk maps for Antarctic krill under projected Southern Ocean acidification. Nature Climate Change 3:843-847","doi:10.1038/nclimate1937","10.1594/PANGAEA.826460","Included","","Australia","2013"
"Kayanne, H., Hata, H., Kudo, S., Yamano, H., Watanabe, A., Ikeda, Y. et al., 2005. Seasonal and bleaching-induced changes in coral reef metabolism and CO 2 flux. Global Biogeochemical Cycles 19","doi:10.1029/2004GB002400","10.1594/PANGAEA.718250","Included","","Japan","2005"
"Kelly, M. W., Padilla-Gamiño, J. L., & Hofmann, G. E., 2013. Natural variation, and the capacity to adapt to ocean acidification in the keystone sea urchin Strongylocentrotus purpuratus. Global Change Biology 19:2536-2546","doi:10.1111/gcb.12251","10.1594/PANGAEA.950284","Included","","USA","2013"
"Keppel, A. G., Breitburg, D. L., Wikfors, G. H., Burrell, R. B., & Clark, V. M., 2015. Effects of co-varying diel-cycling hypoxia and pH on disease susceptibility in the eastern oyster Crassostrea virginica. Marine Ecology Progress Series 538:169-183","doi:10.3354/meps11479","10.1594/PANGAEA.956107","Included","","USA","2015"
"Kerfahi, D., Hall-Spencer, J. M., Tripathi, B. M., Milazzo, M., Lee, J., & Adams, J. M., 2014. Shallow water marine sediment bacterial community shifts along a natural CO2 gradient in the Mediterranean Sea off Vulcano, Italy. Microbial Ecology 67:819-828","doi:10.1007/s00248-014-0368-7","10.1594/PANGAEA.836216","Included","","Republic of Korea","2014"
"Kerfahi, D., Harvey, B. P., Agostini, S., Kon, K., Huang, R., Adams, J. M. et al., 2020. Responses of intertidal bacterial biofilm communities to increasing pCO2. Marine Biotechnology 22:727-738","doi:10.1007/s10126-020-09958-3","10.1594/PANGAEA.930400","Included","","Republic of Korea","2020"
"Kerfahi, D., Harvey, B. P., Kim, H., Yang, Y., Adams, J. M., & Hall-Spencer, J. M., 2023. Whole community and functional gene changes of biofilms on marine plastic debris in response to ocean acidification. Microbial Ecology 85:1202-1214","doi:10.1007/s00248-022-01987-w","10.1594/PANGAEA.946567","Included","","Republic of Korea","2023"
"Keul, N., Langer, G., de Nooijer, L. J., & Bijma, J., 2013. Effect of ocean acidification on the benthic foraminifera Ammonia sp. is caused by a decrease in carbonate ion concentration. Biogeosciences 10:6185-6198","doi:10.5194/bg-10-6185-2013","10.1594/PANGAEA.821209","Included","","EU-Germany","2013"
"Keul, N., Langer, G., de Nooijer, L. J., Nehrke, G., Reichart, G.-J., & Bijma, J., 2013. Incorporation of uranium in benthic foraminiferal calcite reflects seawater carbonate ion concentration. Geochemistry, Geophysics, Geosystems 14:102-111","doi:10.1029/2012GC004330","10.1594/PANGAEA.821210","Included","","EU-Germany","2013"
"Khanna, N., Godbold, J. A., Austin, W. E. N., & Paterson, D. M., 2013. The impact of ocean acidification on the functional morphology of foraminifera. PLoS ONE 8:e83118","doi:10.1371/journal.pone.0083118","10.1594/PANGAEA.951205","Included","","EU-UK","2013"
"Kim, H., Spivack, A. J., & Menden-Deuer, S., 2013. pH alters the swimming behaviors of the raphidophyte Heterosigma akashiwo: implications for bloom formation in an acidified ocean. Harmful Algae 26:1-11","doi:10.1016/j.hal.2013.03.004","10.1594/PANGAEA.830804","Included","","USA","2013"
"Kim, J.-H., Kim, K. Y., Kang, E. J., Lee, K., Kim, J.-M., Park, K.-T. et al., 2013. Enhancement of photosynthetic carbon assimilation efficiency by phytoplankton in the future coastal ocean. Biogeosciences 10:7525-7535","doi:10.5194/bg-10-7525-2013","10.1594/PANGAEA.833260","Included","","Republic of Korea","2013"
"Kim, J.-M., Lee, K., Shin, K., Kang, J.-H., Lee, H.-W., Kim, M. et al., 2006. The effect of seawater CO2 concentration on growth of a natural phytoplankton assemblage in a controlled mesocosm experiment. Limnology and Oceanography 51:1629-1636","doi:10.4319/lo.2006.51.4.1629","10.1594/PANGAEA.718850","Included","","Republic of Korea","2006"
"Kim, K., Kim, K. Y., Kim, J.-H., Kang, E. J., Jeong, H. J., & Lee, K., 2013. Synergistic effects of elevated carbon dioxide and sodium hypochlorite on survival and impairment of three phytoplankton species. Algae 28:173-183","doi:10.4490/algae.2013.28.2.173","10.1594/PANGAEA.824065","Included","","Republic of Korea","2013"
"Kim, T. W., Taylor, J., Lovera, C., & Barry, J. P., 2016. CO2-driven decrease in pH disrupts olfactory behaviour and increases individual variation in deep-sea hermit crabs. ICES Journal of Marine Science 73:613-619","doi:10.1093/icesjms/fsv019","10.1594/PANGAEA.846485","Included","","Republic of Korea","2016"
"King, A. L., Sañudo-Wilhelmy, S. A., Leblanc, K., Hutchins, D. A., & Fu, F., 2011. CO2 and vitamin B12 interactions determine bioactive trace metal requirements of a subarctic Pacific diatom. The ISME Journal 5:1388-1396","doi:10.1038/ismej.2010.211","10.1594/PANGAEA.835475","Included","","USA","2011"
"Kinnby, A., White, J. C. B., Toth, G. B., & Pavia, H., 2021. Ocean acidification decreases grazing pressure but alters morphological structure in a dominant coastal seaweed. PLoS ONE 16:e0245017","doi:10.1371/journal.pone.0245017","10.1594/PANGAEA.930754","Included","","EU-Sweden","2021"
"Kisakürek, B., Eisenhauer, A., Böhm, F., Hathorne, E. C., & Erez, J., 2011. Controls on calcium isotope fractionation in cultured planktic foraminifera, Globigerinoides ruber and Globigerinella siphonifera. Geochimica et Cosmochimica Acta 75:427-443","doi:10.1016/j.gca.2010.10.015","10.1594/PANGAEA.763297","Included","","EU-Germany","2011"
"Kita, J., Kikkawa, T., Asai, T., & Ishimatsu, A., 2013. Effects of elevated pCO2 on reproductive properties of the benthic copepod Tigriopus japonicus and gastropod Babylonia japonica. Marine Pollution Bulletin 73:402-408","doi:10.1016/j.marpolbul.2013.06.026","10.1594/PANGAEA.825107","Included","","Japan","2013"
"Knapp, J. L., Bridges, C. R., Krohn, J., Hoffman, L. C., & Auerswald, L., 2016. The effects of hypercapnia on the West Coast rock lobster (Jasus lalandii) through acute exposure to decreased seawater pH — Physiological and biochemical responses. Journal of Experimental Marine Biology and Ecology 476:58-64","doi:10.1016/j.jembe.2015.12.001","10.1594/PANGAEA.871938","Included","","South Africa","2016"
"Knapp, J. P., Bridges, C. R., Krohn, J., Hoffman, L. C., & Auerswald, L., 2015. Acid–base balance and changes in haemolymph properties of the South African rock lobsters, Jasus lalandii, a palinurid decapod, during chronic hypercapnia. Biochemical and Biophysical Research Communications 461:475-480","doi:10.1016/j.bbrc.2015.04.025","10.1594/PANGAEA.847479","Included","","South Africa","2015"
"Knight, M. A., & Morris, J. J., 2020. Co-culture with Synechococcus facilitates growth of Prochlorococcus under ocean acidification conditions. Environmental Microbiology 22:4876-4889","doi:10.1111/1462-2920.15277","10.1594/PANGAEA.930555","Included","","USA","2020"
"Ko, G. W. K., Dineshram, R., Campanati, C., Vera, C. B. S., Havenhand, J., & Thiyagarajan, V., 2014. Interactive effects of ocean acidification, elevated temperature and reduced salinity on early-life stages of the Pacific oyster. Environmental Science & Technology 48:10079-10088","doi:10.1021/es501611u","10.1594/PANGAEA.836948","Included","","China","2014"
"Ko, W. K. G., Chan, B. S. V., Dineshram, R., Choi, K. S. D., Li, J. A., Ziniu, Y. et al., 2013. Larval and post-larval stages of Pacific oyster (Crassostrea gigas) are resistant to elevated CO2. PLoS ONE 8:e64147","doi:10.1371/journal.pone.0064147","10.1594/PANGAEA.830882","Included","","China, Hong Kong","2013"
"Kolzenburg, R., D’Amore, F., McCoy, S. J., & Ragazzola, F., 2021. Marginal populations show physiological adaptations and resilience to future climatic changes across a North Atlantic distribution. Environmental and Experimental Botany 188:104522","doi:10.1016/j.envexpbot.2021.104522","10.1594/PANGAEA.932878","Included","","EU-UK","2021"
"Kottmeier, D. M., Rokitta, S. D., & Rost, B., 2016. Acidification, not carbonation, is the major regulator of carbon fluxes in the coccolithophore Emiliania huxleyi. New Phytologist 211:126-137","doi:10.1111/nph.13885","10.1594/PANGAEA.861851","Included","","EU-Germany","2016"
"Kottmeier, D. M., Rokitta, S. D., & Rost, B., 2016. H+ -driven increase in CO2 uptake and decrease in HCO3− uptake explain coccolithophores’ acclimation responses to ocean acidification. Limnology and Oceanography 61:2045-2057","doi:10.1002/lno.10352","10.1594/PANGAEA.873376","Included","","EU-Germany","2016"
"Kottmeier, D. M., Rokitta, S. D., Tortell, P. D., & Rost, B., 2014. Strong shift from HCO to CO uptake in Emiliania huxleyi with acidification: new approach unravels acclimation versus short-term pH effects. Photosynthesis Research 121:265-275","doi:10.1007/s11120-014-9984-9","10.1594/PANGAEA.836912","Included","","EU-Germany","2014"
"Kranz, S. A., Levitan, O., Richter, K. U., Prášil, O., Berman-Frank, I., & Rost, B., 2010. Combined effects of CO2 and light on the N2-fixing cyanobacterium Trichodesmium IMS101: physiological responses. Plant Physiology 154:334-345","doi:10.1104/pp.110.159145","10.1594/PANGAEA.777430","Included","","EU-Germany","2010"
"Kranz, S. A., Sültemeyer, D., Richter, K.-U., & Rost, B., 2009. Carbon acquisition by Trichodesmium: the effect of pCO2 and diurnal changes. Limnology and Oceanography 54:548-559","doi:10.4319/lo.2009.54.2.0548","10.1594/PANGAEA.736024","Included","","EU-Germany","2009"
"Kranz, S. A., Wolf-Gladrow, D., Nehrke, G., Langer, G., & Rost, B., 2010. Calcium carbonate precipitation induced by the growth of the marine cyanobacteria Trichodesmium. Limnology and Oceanography 55:2563-2569","doi:10.4319/lo.2010.55.6.2563","10.1594/PANGAEA.777419","Included","","EU-Germany","2010"
"Krause, E., Wichels, A., Erler, R., & Gerdts, G., 2013. Study on the effects of near-future ocean acidification on marine yeasts: a microcosm approach. Helgoland Marine Research 67:607-621","doi:10.1007/s10152-013-0348-1","10.1594/PANGAEA.831668","Included","","EU-Germany","2013"
"Krause, E., Wichels, A., Giménez, L., & Gerdts, G., 2013. Marine fungi may benefit from ocean acidification. Aquatic Microbial Ecology 59-67","doi:10.1594/PANGAEA.831726","10.1594/PANGAEA.831726","Included","","EU-Germany","2013"
"Kreiss, C. M., Michael, K., Bock, C., Lucassen, M., & Pörtner, H.-O., 2015. Impact of long-term moderate hypercapnia and elevated temperature on the energy budget of isolated gills of Atlantic cod (Gadus morhua). Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology 182:102-112","doi:10.1016/j.cbpa.2014.12.019","10.1594/PANGAEA.848599","Included","","EU-Germany","2015"
"Kremp, A., Godhe, A., Egardt, J., Dupont, S., Suikkanen, S., Casabianca, S. et al., 2012. Intraspecific variability in the response of bloom-forming marine microalgae to changed climate conditions. Ecology and Evolution 2:1195-1207","doi:10.1002/ece3.245","10.1594/PANGAEA.823376","Included","","EU-Finland","2012"
"Krief, S., Hendy, E. J., Fine, M., Yam, R., Meibom, A., Foster, G. L. et al., 2010. Physiological and isotopic responses of scleractinian corals to ocean acidification. Geochimica et Cosmochimica Acta 74:4988-5001","doi:10.1016/j.gca.2010.05.023","10.1594/PANGAEA.754785","Included","","Israel","2010"
"Kroeker, K. J., Micheli, F., & Gambi, M. C., 2013. Ocean acidification causes ecosystem shifts via altered competitive interactions. Nature Climate Change 3:156-159","doi:10.1038/nclimate1680","10.1594/PANGAEA.881077","Included","","USA","2013"
"Kroeker, K. J., Micheli, F., Gambi, M. C., & Martz, T. R., 2011. Divergent ecosystem responses within a benthic marine community to ocean acidification. Proceedings of the National Academy of Sciences USA 108:14515-14520","doi:10.1073/pnas.1107789108","10.1594/PANGAEA.777433","Included","","USA","2011"
"Kroeker, K. J., Powell, C., & Donham, E. M., 2021. Windows of vulnerability: seasonal mismatches in exposure and resource identity determine ocean acidification’s effect on a primary consumer at high latitude. Global Change Biology 27:1042-1051","doi:10.1111/gcb.15449","10.1594/PANGAEA.932616","Included","","USA","2021"
"Krueger, T., Horwitz, N., Bodin, J., Giovani, M.-E., Escrig, S., Meibom, A. et al., 2017. Common reef-building coral in the Northern Red Sea resistant to elevated temperature and acidification. Royal Society Open Science 4:170038","doi:10.1098/rsos.170038","10.1594/PANGAEA.880318","Included","","EU-Switzerland","2017"
"Krug, S., Schulz, K., & Riebesell, U., 2011. Effects of changes in carbonate chemistry speciation on Coccolithus braarudii: a discussion of coccolithophorid sensitivities. Biogeosciences 8:771-777","doi:10.5194/bgd-7-8763-2010","10.1594/PANGAEA.762350","Included","","EU-Germany","2011"
"Kuffner, I. B., Andersson, A. J., Jokiel, P. L., Rodgers, K. S., & Mackenzie, F. T., 2007. Decreased abundance of crustose coralline algae due to ocean acidification. Nature Geoscience 1:114-117","doi:10.1038/ngeo100","10.1594/PANGAEA.819628","Included","","USA","2007"
"Kunz, K. L., Claireaux, G., Pörtner, H. O., Knust, R., & Mark, F. C., 2018. Aerobic capacities and swimming performance of polar cod (Boreogadus saida) under ocean acidification and warming conditions. Journal of Experimental Biology 221:jeb184473","doi:10.1242/jeb.184473","10.1594/PANGAEA.922147","Included","","EU-Germany","2018"
"Kunz, K. L., Frickenhaus, S., Hardenberg, S., Johansen, T., Leo, E., Pörtner, H.-O. et al., 2016. New encounters in Arctic waters: a comparison of metabolism and performance of polar cod (Boreogadus saida) and Atlantic cod (Gadus morhua) under ocean acidification and warming. Polar Biology 39:1137-1153","doi:10.1007/s00300-016-1932-z","10.1594/PANGAEA.870468","Included","","EU-Germany","2016"
"Kurihara, H., Asai, T., Kato, S., & Ishimatsu, A., 2008. Effects of elevated pCO2 on early development in the mussel Mytilus galloprovincialis. Aquatic Biology 4:225-233","doi:10.3354/ab00109","10.1594/PANGAEA.924558","Included","","Japan","2008"
"Kurihara, H., Kato, S., & Ishimatsu, A., 2007. Effects of increased seawater pCO2 on early development of the oyster Crassostrea gigas. Aquatic Biology 1:91-98","doi:10.3354/ab00009","10.1594/PANGAEA.721193","Included","","Japan","2007"
"Kurihara, H., & Shirayama, Y., 2004. Effects of increased atmospheric CO2 on sea urchin early development. Marine Ecology Progress Series 274:161-169","doi:10.3354/meps274161","10.1594/PANGAEA.721138","Included","","Japan","2004"
"Kurman, M. D., Gómez, C. E., Georgian, S. E., Lunden, J. J., & Cordes, E. E., 2017. Intra-specific variation reveals potential for adaptation to ocean acidification in a cold-water coral from the Gulf of Mexico. Frontiers in Marine Science 4:111","doi:10.3389/fmars.2017.00111","10.1594/PANGAEA.877984","Included","","USA","2017"
"Kwan, G. T., Hamilton, T. J., & Tresguerres, M., 2017. CO2 -induced ocean acidification does not affect individual or group behaviour in a temperate damselfish. Royal Society Open Science 4:170283","doi:10.1098/rsos.170283","10.1594/PANGAEA.958996","Included","","USA","2017"
"Kwan, G. T., Shen, S. G., Drawbridge, M., Checkley, D. M., & Tresguerres, M., 2021. Ion-transporting capacity and aerobic respiration of larval white seabass (Atractoscion nobilis) may be resilient to ocean acidification conditions. Science of the Total Environment 791:148285","doi:10.1016/j.scitotenv.2021.148285","10.1594/PANGAEA.933100","Included","","USA","2021"
"Kwan, G. T., & Tresguerres, M., 2022. Elucidating the acid-base mechanisms underlying otolith overgrowth in fish exposed to ocean acidification. Science of the Total Environment 823:153690","doi:10.1016/j.scitotenv.2022.153690","10.1594/PANGAEA.945127","Included","","USA","2022"
"Kwiatkowski, L., Albright, R., Hosfelt, J., Nebuchina, Y., Ninokawa, A., Rivlin, T. et al., 2016. Interannual stability of organic to inorganic carbon production on a coral atoll. Geophysical Research Letters 43:3880-3888","doi:10.1002/2016GL068723","10.1594/PANGAEA.869292","Included","","USA","2016"
"Kwiatkowski, L., Gaylord, B., Hill, T., Hosfelt, J., Kroeker, K. J., Nebuchina, Y. et al., 2016. Nighttime dissolution in a temperate coastal ocean ecosystem increases under acidification. Scientific Reports 6:22984","doi:10.1038/srep22984","10.1594/PANGAEA.864039","Included","","USA","2016"
"Labra, F. A., San Martín, V. A., Jahnsen-Guzmán, N., Fernández, C., Zapata, J., García-Huidobroro, M. R. et al., 2022. Metabolic rate allometry in intertidal mussels across environmental gradients: the role of coastal carbonate system parameters in mediating the effects of latitude and temperature. Marine Pollution Bulletin 184:114149","doi:10.1016/j.marpolbul.2022.114149","10.1594/PANGAEA.956222","Included","","Chile","2022"
"Lacoue-Labarthe, T., Martin, S., Oberhänsli, F., Teyssié, J.-L., Markich, S., Jeffree, R. et al., 2009. Effects of increased pCO2 and temperature on trace element (Ag, Cd and Zn) bioaccumulation in the eggs of the common cuttlefish, Sepia officinalis. Biogeosciences 6:2561-2573","doi:10.5194/bg-6-2561-2009","10.1594/PANGAEA.736519","Included","","EU-France","2009"
"Lacoue-Labarthe, T., Reveillac, E., Oberhänsli, F., Teyssié, J.-L., Jeffree, R., & Gattuso, J.-P., 2011. Effects of ocean acidification on trace element accumulation in the early-life stages of squid Loligo vulgaris. Aquatic Toxicology 105:166-176","doi:10.1016/j.aquatox.2011.05.021","10.1594/PANGAEA.763988","Included","","EU-France","2011"
"Lagos, N. A., Benítez, S., Duarte, C., Lardies, M. A., Broitman, B. R., Tapia, C. et al., 2016. Effects of temperature and ocean acidification on shell characteristics of Argopecten purpuratus: implications for scallop aquaculture in an upwelling-influenced area. Aquaculture Environment Interactions 8:357-370","doi:10.3354/aei00183","10.1594/PANGAEA.869455","Included","","Chile","2016"
"Lai, F., Fagernes, C. E., Bernier, N. J., Miller, G. M., Munday, P. L., Jutfelt, F. et al., 2017. Responses of neurogenesis and neuroplasticity related genes to elevated CO2 levels in the brain of three teleost species. Biology Letters 13:20170240","doi:10.1098/rsbl.2017.0240","10.1594/PANGAEA.958748","Included","","EU-Norway","2017"
"Lai, F., Jutfelt, F., & Nilsson, G. E., 2015. Altered neurotransmitter function in CO2-exposed stickleback (Gasterosteus aculeatus): a temperate model species for ocean acidification research. Conservation Physiology 3:cov018-cov018","doi:10.1093/conphys/cov018","10.1594/PANGAEA.849392","Included","","EU-Norway","2015"
"Langdon, C., Albright, R., Baker, A. C., & Jones, P., 2018. Two threatened Caribbean coral species have contrasting responses to combined temperature and acidification stress. Limnology and Oceanography 63:2450-2464","doi:10.1002/lno.10952","10.1594/PANGAEA.906752","Included","","USA","2018"
"Langdon, C., & Atkinson, M. J., 2005. Effect of elevated pCO2 on photosynthesis and calcification of corals and interactions with seasonal change in temperature/irradiance and nutrient enrichment. Journal of Geophysical Research- Oceans 110:C09S07","doi:10.1029/2004JC002576","10.1594/PANGAEA.721194","Included","","USA","2005"
"Langdon, C., Broecker, W. S., Hammond, D. E., Glenn, E., Fitzsimmons, K., Nelson, N. G. et al., 2003. Effect of elevated CO2 on the community metabolism of an experimental coral reef. Global Biogeochemical Cycles 17:1001","doi:10.1029/2002GB001941","10.1594/PANGAEA.721740","Included","","USA","2003"
"Langdon, C., Takahashi, T., Marubini, F., Atkinson, M., Sweeney, C., Aceves, H. et al., 2000. Effect of calcium carbonate saturation state on the rate of calcification of an experimental coral reef. Global Biogeochemical Cycles 14:639-654","doi:10.1029/1999GB001195","10.1594/PANGAEA.721195","Included","","USA","2000"
"Langer, G., & Bode, M., 2011. CO2 mediation of adverse effects of seawater acidification in Calcidiscus leptoporus. Geochemistry Geophysics Geosystems 12:Q05001","doi:10.1029/2010GC003393","10.1594/PANGAEA.763286","Included","","EU-Spain","2011"
"Langer, G., Geisen, M., Baumann, K. H., Klas, J., Riebesell, U., Thoms, S. et al., 2006. Species-specific responses of calcifying algae to changing seawater carbonate chemistry. Geochemistry, Geophysics, Geosystems 7:Q09006","doi:10.1029/2005GC001227","10.1594/PANGAEA.721107","Included","","EU-Germany","2006"
"Langer, G., Nehrke, G., Baggini, C., Rodolfo-Metalpa, R., Hall-Spencer, J. M., & Bijma, J., 2014. Limpets counteract ocean acidification induced shell corrosion by thickening of aragonitic shell layers. Biogeosciences 11:7363-7368","doi:10.5194/bg-11-7363-2014","10.1594/PANGAEA.847223","Included","","EU-UK","2014"
"Langer, G., Nehrke, G., Probert, I., Ly, J., & Ziveri, P., 2009. Strain-specific responses of Emiliania huxleyi to changing seawater carbonate chemistry. Biogeosciences 6:2637-2646","doi:10.5194/bg-6-2637-2009","10.1594/PANGAEA.733946","Included","","EU-Spain","2009"
"Langer, G., Oetjen, K., & Brenneis, T., 2012. Calcification of Calcidiscus leptoporus under nitrogen and phosphorus limitation. Journal of Experimental Marine Biology and Ecology 413:131-137","doi:10.1016/j.jembe.2011.11.028","10.1594/PANGAEA.778475","Included","","EU-Germany","2012"
"Langer, G., Probert, I., Nehrke, G., & Ziveri, P., 2011. The morphological response of Emiliania huxleyi to seawater carbonate chemistry changes: an inter-strain comparison. Journal of Nannoplankton Research 32:29-34","doi:no DOI","10.1594/PANGAEA.826456","Included","","EU-Spain","2011"
"Langer, J. A. F., Meunier, C. L., Ecker, U., Horn, H. G., Schwenk, K., & Boersma, M., 2019. Acclimation and adaptation of the coastal calanoid copepod Acartia tonsa to ocean acidification: a long-term laboratory investigation. Marine Ecology Progress Series 619:35-51","doi:10.3354/meps12950","10.1594/PANGAEA.959671","Included","","EU-Germany","2019"
"Lannig, G., Eilers, S., Pörtner, H.-O., Sokolova, I. M., & Bock, C., 2010. Impact of ocean acidification on energy metabolism of oyster, Crassostrea gigas - changes in metabolic pathways and thermal response. Marine Drugs 8:2318-2339","doi:10.3390/md8082318","10.1594/PANGAEA.761915","Included","","EU-Germany","2010"
"Lantz, C. A., Carpenter, R. C., & Edmunds, P. J., 2017. Calcium carbonate (CaCO3) sediment dissolution under elevated concentrations of carbon dioxide (CO2) and nitrate (NO3−). Journal of Experimental Marine Biology and Ecology 495:48-56","doi:10.1016/j.jembe.2017.05.014","10.1594/PANGAEA.880536","Included","","Australia","2017"
"Lantz, C. A., Schulz, K. G., & Eyre, B. D., 2020. Ocean acidification and short‐term organic matter enrichment alter coral reef sediment metabolism through different pathways. Journal of Geophysical Research: Biogeosciences 125:e2019JG005453","doi:10.1029/2019jg005453","10.1594/PANGAEA.905748","Included","","Australia","2020"
"Larsen, J. B., Larsen, A., Thyrhaug, R., Bratbak, G., & Sandaa, R.-A., 2008. Response of marine viral populations to a nutrient induced phytoplankton bloom at different pCO2 levels. Biogeosciences 5:523-533","doi:10.5194/bg-5-523-2008","10.1594/PANGAEA.726955","Included","","EU-Norway","2008"
"Lassoued, J., Babarro, J. M. F., Padín, X. A., Comeau, L. A., Bejaoui, N., & Pérez, F. F., 2019. Behavioural and eco-physiological responses of the mussel Mytilus galloprovincialis to acidification and distinct feeding regimes. Marine Ecology Progress Series 626:97-108","doi:10.3354/meps13075","10.1594/PANGAEA.912486","Included","","EU-Spain","2019"
"Lassoued, J., Padín, X. A., Comeau, L. A., Bejaoui, N., Pérez, F. F., & Babarro, J. M. F., 2021. The Mediterranean mussel Mytilus galloprovincialis: responses to climate change scenarios as a function of the original habitat. Conservation Physiology 9:coaa114","doi:10.1093/conphys/coaa114","10.1594/PANGAEA.931962","Included","","EU-Spain","2021"
"Laubenstein, T. D., Jarrold, M. D., Rummer, J. L., & Munday, P. L., 2020. Beneficial effects of diel CO2 cycles on reef fish metabolic performance are diminished under elevated temperature. Science of the Total Environment 68:236-248","doi:10.1016/j.scitotenv.2020.139084","10.1594/PANGAEA.925216","Included","","Australia","2020"
"Laubenstein, T. D., Rummer, J. L., McCormick, M. I., & Munday, P. L., 2019. A negative correlation between behavioural and physiological performance under ocean acidification and warming. Scientific Reports 9:4265","doi:10.1038/s41598-018-36747-9","10.1594/PANGAEA.921189","Included","","Australia","2019"
"Laubenstein, T. D., Rummer, J. L., Nicol, S., Parsons, D. M., Pether, S. M. J., Pope, S. et al., 2018. Correlated effects of ocean acidification and warming on behavioral and metabolic traits of a large pelagic fish. Diversity 10:35","doi:10.3390/d10020035","10.1594/PANGAEA.959026","Included","","Australia","2018"
"Laurent, J., Venn, A., Tambutte, E., Ganot, P., Allemand, D., & Tambutte, S., 2013. Regulation of intracellular pH in cnidarians: response to acidosis in Anemonia viridis. FEBS Journal","doi:10.1111/febs.12614","10.1594/PANGAEA.837087","Included","","EU-Monaco","2013"
